,Range,PDF,CDF
0,0.0,0.45,0.45
1,50.0,0.0,0.45
2,100.0,0.0,0.45
3,150.0,0.06666666666666667,0.5166666666666667
4,200.0,0.16666666666666666,0.6833333333333333
5,250.0,0.11666666666666667,0.8
6,300.0,0.08333333333333333,0.8833333333333333
7,350.0,0.08333333333333333,0.9666666666666667
8,400.0,0.016666666666666666,0.9833333333333333
9,450.0,0.016666666666666666,1.0
10,500.0,0.0,1.0
11,550.0,0.0,1.0
12,600.0,0.0,1.0
13,650.0,0.0,1.0
14,700.0,0.0,1.0
15,750.0,0.0,1.0
16,800.0,0.0,1.0
17,850.0,0.0,1.0
18,900.0,0.0,1.0
19,950.0,0.0,1.0
