,ABM.Range,ABM.PDF,ABM.CDF,CSS.Range,CSS.PDF,CSS.CDF,
0,0,0.492,0.492,0,0.482,0.482,0
1,50,0,0.492,50,0,0.482,1
2,100,0,0.492,100,0,0.482,
3,150,0,0.492,150,0,0.482,
4,200,0,0.492,200,0,0.482,
5,250,0,0.492,250,0,0.482,
6,300,0,0.492,300,0,0.482,
7,350,0,0.492,350,0,0.482,
8,400,0,0.492,400,0,0.482,
9,450,0,0.492,450,0,0.482,
10,500,0,0.492,500,0,0.482,
11,550,0,0.492,550,0,0.482,
12,600,0,0.492,600,0,0.482,
13,650,0.002,0.494,650,0,0.482,
14,700,0.014,0.508,700,0.02,0.502,
15,750,0.225,0.733,750,0.233,0.735,
16,800,0.25,0.983,800,0.255,0.99,
17,850,0.017,1,850,0.01,1,
18,900,0,1,900,0,1,
19,950,0,1,950,0,1,
